domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_2,grounder,0.01,3680,true,okay,
sync-impossible,instance_1_2,verified-encoder,0.01,5212,true,okay,
sync-impossible,instance_1_2,model-converter,0.04,9900,true,okay,
sync-impossible,instance_1_2,tck-covreach,0.01,9788,true,okay,
sync-impossible,instance_1_2,cert-conv,0.05,13836,true,okay,
sync-impossible,instance_1_2,muntac-cert-check,0.04,23096,true,okay,
sync-impossible,instance_1_2,tamer-ctp,0.01,3680,false,1,|ERROR: An error of type ParserError was thrown during the execution of TAMER. The reported error is: ParserError: syntax error at line 3 Command exited with non-zero status 1 
sync-impossible,instance_1_2,tamer-ftp,0.00,3680,false,1,|ERROR: An error of type ParserError was thrown during the execution of TAMER. The reported error is: ParserError: syntax error at line 3 Command exited with non-zero status 1 
sync-impossible,instance_1_2,tamer-ctp-ground,0.01,4152,true,okay,
