domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_4,OPTIC,,,false,137,|Number of literals: 12 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 66% of the ground temporal actions in this problem are compression-safe Initial heuristic = 8.000, admissible cost estimate 0.000 b (7.000 | 5.000)b (6.000 | 18.001)b (5.000 | 69.003)b (4.000 | 149.006)b (3.000 | 244.010) Resorting to best-first search Running WA* with W = 5.000, not restarting with goal states b (7.000 | 5.000)b (6.000 | 18.001)b (6.000 | 15.001)b (5.000 | 69.003)b (5.000 | 60.003)b (5.000 | 46.003)b (4.000 | 149.006)b (4.000 | 135.006)b (3.000 | 244.010)b (3.000 | 230.010)b (3.000 | 212.010)b (3.000 | 207.010)b (3.000 | 198.010)
Command exited with non-zero status 137
%%%137%956.28%39919092
sync-impossible,instance_1_4-ground,POPF,,,false,134,|Warnings encountered when parsing Domain/Problem File ----------------------------------------------------- The supplied domain/problem file appear to violate part of the PDDL language specification. Specifically: Errors: 0, warnings: 18 ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 22: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 23: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 44: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 49: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 50: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 69: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 74: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 75: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 85: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 90: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 91: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 101: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 106: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 107: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 117: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 122: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 123: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_4_domain.pddl: line: 133: Warning: Undeclared requirement :durative-actions The planner will continue, but you may wish to fix your files accordingly Number of literals: 12 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 66% of the ground temporal actions in this problem are compression-safe Initial heuristic = 8.000 b (7.000 | 5.000)b (6.000 | 18.001)b (5.000 | 56.002)b (4.000 | 85.003)b (3.000 | 100.004) Resorting to best-first search b (7.000 | 5.000)b (6.000 | 18.001)b (6.000 | 15.001)b (5.000 | 56.002)b (5.000 | 47.002)b (5.000 | 33.002)b (4.000 | 85.003)b (4.000 | 71.003)b (3.000 | 100.004)b (3.000 | 100.004)terminate called after throwing an instance of 'std::bad_alloc' what(): std::bad_alloc
Command exited with non-zero status 134
%%%134%1577.69%55969168
sync-impossible,instance_1_4,nextflap,0.23,4824,true,okay,
sync-impossible,instance_1_5,tck-aLUcovreach,137.13,169196,true,okay,
sync-impossible,instance_1_5,tck-covreach,,,false,out of time,|
sync-impossible,instance_1_5-ground,nuXmv,571.62,3751884,true,okay,
