domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
driverlog,instance_2_1_1_1,verified-encoder,0.01,8764,true,okay,
driverlog,instance_2_1_1_2,grounding,0.00,5404,true,okay,
driverlog,instance_2_1_1_2,verified-encoder,0.02,10160,true,okay,
driverlog,instance_2_1_1_3,grounding,0.00,5416,true,okay,
driverlog,instance_2_1_1_3,verified-encoder,0.04,14620,true,okay,
driverlog,instance_2_1_2_1,grounding,0.00,5404,true,okay,
driverlog,instance_2_1_2_1,verified-encoder,0.02,10296,true,okay,
driverlog,instance_2_1_2_2,grounding,0.00,5276,true,okay,
driverlog,instance_2_1_2_2,verified-encoder,0.03,14152,true,okay,
driverlog,instance_2_1_2_3,grounding,0.00,5392,true,okay,
driverlog,instance_2_1_2_3,verified-encoder,0.05,14628,true,okay,
driverlog,instance_2_1_3_1,grounding,0.00,5416,true,okay,
driverlog,instance_2_1_3_1,verified-encoder,0.04,14676,true,okay,
driverlog,instance_2_1_3_2,grounding,0.00,5336,true,okay,
driverlog,instance_2_1_3_2,verified-encoder,0.06,14532,true,okay,
driverlog,instance_2_1_3_3,grounding,0.00,5416,true,okay,
driverlog,instance_2_1_3_3,verified-encoder,0.08,20892,true,okay,
driverlog,instance_2_2_1_1,grounding,0.00,5416,true,okay,
driverlog,instance_2_2_1_1,verified-encoder,0.02,10380,true,okay,
driverlog,instance_2_2_1_2,grounding,0.00,5452,true,okay,
driverlog,instance_2_2_1_2,verified-encoder,0.05,14184,true,okay,
driverlog,instance_2_2_1_3,grounding,0.00,5340,true,okay,
driverlog,instance_2_2_1_3,verified-encoder,0.11,21220,true,okay,
driverlog,instance_2_2_2_1,grounding,0.00,5344,true,okay,
driverlog,instance_2_2_2_1,verified-encoder,0.05,14540,true,okay,
driverlog,instance_2_2_2_2,grounding,0.00,5532,true,okay,
driverlog,instance_2_2_2_2,verified-encoder,0.09,21260,true,okay,
driverlog,instance_2_2_2_3,grounding,0.00,5404,true,okay,
driverlog,instance_2_2_2_3,verified-encoder,0.16,24856,true,okay,
driverlog,instance_2_2_3_1,grounding,0.00,5388,true,okay,
driverlog,instance_2_2_3_1,verified-encoder,0.11,20868,true,okay,
driverlog,instance_2_2_3_2,grounding,0.00,5344,true,okay,
driverlog,instance_2_2_3_2,verified-encoder,0.15,25164,true,okay,
driverlog,instance_2_2_3_3,grounding,0.00,5536,true,okay,
driverlog,instance_2_2_3_3,verified-encoder,0.25,36044,true,okay,
driverlog,instance_2_3_1_1,grounding,0.00,5028,true,okay,
driverlog,instance_2_3_1_1,verified-encoder,0.03,14312,true,okay,
driverlog,instance_2_3_1_2,grounding,0.00,5404,true,okay,
driverlog,instance_2_3_1_2,verified-encoder,0.09,20548,true,okay,
driverlog,instance_2_3_1_3,grounding,0.00,5272,true,okay,
driverlog,instance_2_3_1_3,verified-encoder,0.21,34576,true,okay,
driverlog,instance_2_3_2_1,grounding,0.00,5344,true,okay,
driverlog,instance_2_3_2_1,verified-encoder,0.09,20200,true,okay,
driverlog,instance_2_3_2_2,grounding,0.00,5416,true,okay,
driverlog,instance_2_3_2_2,verified-encoder,0.15,24844,true,okay,
driverlog,instance_2_3_2_3,grounding,0.00,4920,true,okay,
driverlog,instance_2_3_2_3,verified-encoder,0.31,44204,true,okay,
driverlog,instance_2_3_3_1,grounding,0.00,5404,true,okay,
driverlog,instance_2_3_3_1,verified-encoder,0.20,33128,true,okay,
driverlog,instance_2_3_3_2,grounding,0.00,5312,true,okay,
driverlog,instance_2_3_3_2,verified-encoder,0.31,43008,true,okay,
driverlog,instance_2_3_3_3,grounding,0.00,5392,true,okay,
driverlog,instance_2_3_3_3,verified-encoder,0.53,61380,true,okay,
driverlog,instance_3_1_1_1,grounding,0.00,5276,true,okay,
driverlog,instance_3_1_1_1,verified-encoder,0.01,10972,true,okay,
driverlog,instance_3_1_1_2,grounding,0.00,5412,true,okay,
driverlog,instance_3_1_1_2,verified-encoder,0.04,14224,true,okay,
driverlog,instance_3_1_1_3,grounding,0.00,5416,true,okay,
driverlog,instance_3_1_1_3,verified-encoder,0.06,20360,true,okay,
driverlog,instance_3_1_2_1,grounding,0.00,5364,true,okay,
driverlog,instance_3_1_2_1,verified-encoder,0.04,14484,true,okay,
driverlog,instance_3_1_2_2,grounding,0.00,5416,true,okay,
driverlog,instance_3_1_2_2,verified-encoder,0.05,14404,true,okay,
driverlog,instance_3_1_2_3,grounding,0.00,5272,true,okay,
driverlog,instance_3_1_2_3,verified-encoder,0.09,19692,true,okay,
driverlog,instance_3_1_3_1,grounding,0.00,5364,true,okay,
driverlog,instance_3_1_3_1,verified-encoder,0.06,20364,true,okay,
driverlog,instance_3_1_3_2,grounding,0.00,5360,true,okay,
driverlog,instance_3_1_3_2,verified-encoder,0.08,19744,true,okay,
driverlog,instance_3_1_3_3,grounding,0.00,5344,true,okay,
driverlog,instance_3_1_3_3,verified-encoder,0.14,21052,true,okay,
driverlog,instance_3_2_1_1,grounding,0.00,5572,true,okay,
driverlog,instance_3_2_1_1,verified-encoder,0.04,14856,true,okay,
driverlog,instance_3_2_1_2,grounding,0.00,5324,true,okay,
driverlog,instance_3_2_1_2,verified-encoder,0.08,20372,true,okay,
driverlog,instance_3_2_1_3,grounding,0.00,5364,true,okay,
driverlog,instance_3_2_1_3,verified-encoder,0.19,32748,true,okay,
driverlog,instance_3_2_2_1,grounding,0.00,5580,true,okay,
driverlog,instance_3_2_2_1,verified-encoder,0.08,20560,true,okay,
driverlog,instance_3_2_2_2,grounding,0.00,5356,true,okay,
driverlog,instance_3_2_2_2,verified-encoder,0.15,23304,true,okay,
driverlog,instance_3_2_2_3,grounding,0.00,5416,true,okay,
driverlog,instance_3_2_2_3,verified-encoder,0.28,36864,true,okay,
driverlog,instance_3_2_3_1,grounding,0.00,5544,true,okay,
driverlog,instance_3_2_3_1,verified-encoder,0.19,32700,true,okay,
