domain>%<instance>%<solver>%<status>%<output>%<time(s)>%<memory(kB)
sync-impossible-4>%<instance_1_3>%<grounder>%<okay>%<One way facts... Semaphore Facts... Envelope Facts... (pa r0) is an envelope fact One-shot actions... Integral variables... Variable bounds... Static numeric conditions... Duration bounds... TIL time window analysis... Bounding action timestamps due to time windows... Dominance constraints (excluding processes and events)... Damaging events... Dominance constraints (including processes and events)... Variable monotonicity... Max/min needed values for any single precondition... Irrelevant action pruning by backward reachability from goal... Uninterestingness criteria... Compression-safe actions... Compression-safe invariants... 60% of durative actions in this problem are compression safe -- Writing ground PDDL >%<0>%<0.00>%<5584 
sync-impossible-4>%<instance_1_3>%<verified-encoder>%<okay>%<okok+ Domain File: ./ground-pddl-problems/sync-impossible-4/instance_1_3_domain.pddl + Problem File: ./ground-pddl-problems/sync-impossible-4/instance_1_3_problem.pddl + Network File: ./muntax-dir/sync-impossible-4/instance_1_3.muntax + {"automata": [{"name": "main", "nodes": [{"id": 0, "name": "init", "invariant": ""}, {"id": 1, "name": "planning", "invariant": ""}, {"id": 2, "name": "goal", "invariant": ""}], "committed": [], "urgent": [0, 2], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 0", "label": "", "update": "planning_lock := 1, acts_active := 0, var_exd_r0 := 1, var_exc_r0 := 1"}, {"source": 1, "target": 2, "guard": "planning_lock = 1 && acts_active = 0 && var_pg_r0 = 1", "label": "", "update": "planning_lock := 2"}, {"source": 2, "target": 2, "guard": "", "label": "", "update": ""}]}, {"name": "act__c1_r0_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exc_r0 = 0 && lock_pb_r0_p0 = 0 && lock_pb_r0_p1 = 0 && lock_pb_r0_p2 = 0 && var_exd_r0 = 1 && var_exc_r0 = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c2_r0_ >= 0 && end__c1_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c2_r0_ > 0 && end__c1_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exc_r0 := 0, var_pb_r0_p0 := 0, var_pb_r0_p1 := 0, var_pb_r0_p2 := 0, var_pa_r0 := 1, start__c1_r0_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c1_r0_ <= 2 && start__c1_r0_ >= 2", "label": "", "update": "end__c1_r0_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1 && lock_pa_r0 = 0 && var_pb_r0_p0 = 1 && var_pb_r0_p1 = 1 && var_pb_r0_p2 = 1", "label": "", "update": "acts_active := acts_active + -1, var_pa_r0 := 0, var_exc_r0 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c1_r0_ <= 2 && start__c1_r0_ >= 2", "label": "", "update": "end__c1_r0_ := 0"}]}, {"name": "act__c2_r0_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exc_r0 = 0 && lock_px_r0_p0 = 0 && lock_px_r0_p1 = 0 && lock_px_r0_p2 = 0 && var_exc_r0 = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c2_r0_ >= 0 && end__c1_r0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c2_r0_ > 0 && end__c1_r0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exc_r0 := 0, var_px_r0_p0 := 0, var_px_r0_p1 := 0, var_px_r0_p2 := 0, start__c2_r0_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c2_r0_ <= 2 && start__c2_r0_ >= 2", "label": "", "update": "end__c2_r0_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1 && var_px_r0_p0 = 1 && var_px_r0_p1 = 1 && var_px_r0_p2 = 1", "label": "", "update": "acts_active := acts_active + -1, var_exc_r0 := 1, var_pg_r0 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__c2_r0_ <= 2 && start__c2_r0_ >= 2", "label": "", "update": "end__c2_r0_ := 0"}]}, {"name": "act__d_r0_p0_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exd_r0 = 0 && var_pa_r0 = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c1_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c1_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exd_r0 := 0, var_pb_r0_p0 := 1, start__d_r0_p0_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p0_ <= 33 && start__d_r0_p0_ >= 33", "label": "", "update": "end__d_r0_p0_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1", "label": "", "update": "acts_active := acts_active + -1, var_exd_r0 := 1, var_px_r0_p0 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p0_ <= 33 && start__d_r0_p0_ >= 33", "label": "", "update": "end__d_r0_p0_ := 0"}]}, {"name": "act__d_r0_p1_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exd_r0 = 0 && var_pa_r0 = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c1_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c1_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exd_r0 := 0, var_pb_r0_p1 := 1, start__d_r0_p1_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p1_ <= 39 && start__d_r0_p1_ >= 39", "label": "", "update": "end__d_r0_p1_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1", "label": "", "update": "acts_active := acts_active + -1, var_exd_r0 := 1, var_px_r0_p1 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p1_ <= 39 && start__d_r0_p1_ >= 39", "label": "", "update": "end__d_r0_p1_ := 0"}]}, {"name": "act__d_r0_p2_", "nodes": [{"id": 0, "name": "off", "invariant": ""}, {"id": 1, "name": "starting", "invariant": ""}, {"id": 2, "name": "running", "invariant": ""}, {"id": 3, "name": "ending", "invariant": ""}], "committed": [], "urgent": [1, 3], "initial": 0, "edges": [{"source": 0, "target": 1, "guard": "planning_lock = 1 && lock_exd_r0 = 0 && var_pa_r0 = 1 && end__d_r0_p2_ >= 0 && end__d_r0_p1_ >= 0 && end__d_r0_p0_ >= 0 && end__c1_r0_ >= 0 && start__c1_r0_ >= 0 && end__d_r0_p2_ > 0 && end__d_r0_p1_ > 0 && end__d_r0_p0_ > 0 && end__c1_r0_ > 0 && start__c1_r0_ > 0", "label": "", "update": "acts_active := acts_active + 1, var_exd_r0 := 0, var_pb_r0_p2 := 1, start__d_r0_p2_ := 0"}, {"source": 1, "target": 2, "guard": "planning_lock = 1", "label": "", "update": ""}, {"source": 2, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p2_ <= 2 && start__d_r0_p2_ >= 2", "label": "", "update": "end__d_r0_p2_ := 0"}, {"source": 3, "target": 0, "guard": "planning_lock = 1", "label": "", "update": "acts_active := acts_active + -1, var_exd_r0 := 1, var_px_r0_p2 := 1"}, {"source": 1, "target": 3, "guard": "planning_lock = 1 && end__c2_r0_ >= 0 && start__d_r0_p2_ >= 0 && start__d_r0_p1_ >= 0 && start__d_r0_p0_ >= 0 && start__c2_r0_ >= 0 && start__c1_r0_ >= 0 && end__c2_r0_ > 0 && start__d_r0_p2_ > 0 && start__d_r0_p1_ > 0 && start__d_r0_p0_ > 0 && start__c2_r0_ > 0 && start__c1_r0_ > 0 && start__d_r0_p2_ <= 2 && start__d_r0_p2_ >= 2", "label": "", "update": "end__d_r0_p2_ := 0"}]}], "clocks": "start__c1_r0_, start__c2_r0_, start__d_r0_p0_, start__d_r0_p1_, start__d_r0_p2_, end__c1_r0_, end__c2_r0_, end__d_r0_p0_, end__d_r0_p1_, end__d_r0_p2_", "vars": "acts_active[0:5], planning_lock[0:2], lock_exd_r0[0:5], lock_exc_r0[0:5], lock_pa_r0[0:5], lock_px_r0_p0[0:5], lock_pb_r0_p0[0:5], lock_px_r0_p1[0:5], lock_pb_r0_p1[0:5], lock_px_r0_p2[0:5], lock_pb_r0_p2[0:5], var_exd_r0[0:1], var_exc_r0[0:1], var_pa_r0[0:1], var_pg_r0[0:1], var_px_r0_p0[0:1], var_pb_r0_p0[0:1], var_px_r0_p1[0:1], var_pb_r0_p1[0:1], var_px_r0_p2[0:1], var_pb_r0_p2[0:1]", "formula": "E<> main.goal", "broadcast": []} + Total Time: : 0.002 >%<0>%<0.00>%<5352 
sync-impossible-4>%<instance_1_3>%<model-converter>%<okay>%<>%<0>%<0.02>%<12660 
sync-impossible-4>%<instance_1_3>%<tck-covreach>%<okay>%<COVERED_STATES 8148 MEMORY_MAX_RSS 19536 REACHABLE false RUNNING_TIME_SECONDS 0.0887063 STORED_STATES 2455 VISITED_STATES 5200 VISITED_TRANSITIONS 10602 >%<0>%<0.11>%<19536 
